country,show_id
Germany,80016401
South Africa,80182274
United States,80182274
United States,81145628
United Kingdom,80117401
United States,70234439
United States,80058654
United States,80125979
Spain,80163890
Bulgaria,70304989
Chile,80164077
United States,80117902
United States,70304990
Netherlands,70299204
France,80057969
United States,80060297
France,80046728
United States,80046727
United States,70304988
United States,80057700
United States,80045922
"United States,",80203094
Thailand,70241607
China,80988892
United States,80239639
Belgium,80159586
Belgium,80152447
India,81154455
India,81052275
France,80178151
United States,80058026
India,70303496
United Kingdom,80162141
United Kingdom,80095641
United States,80159880
Thailand,81016044
Thailand,80158838
Thailand,81016045
Thailand,70142798
Thailand,70062814
Thailand,80158839
United States,80147760
United States,80177405
United States,80113482
Pakistan,81160036
Canada,81173255
United States,81078908
India,81155784
United States,80201906
United Kingdom,80052612
United States,80113641
United Kingdom,81054495
United States,80996949
United States,80239337
United States,70212504
United States,81011682
United States,80128317
United States,81027384
United States,80030186
United States,80116921
South Korea,80187061
United Kingdom,80181555
Denmark,80081155
United Kingdom,80198585
Turkey,70233894
Brazil,81011955
United States,80128722
United States,80182115
United States,80104068
United Kingdom,80199032
United States,80019931
Denmark,80200087
Indonesia,81002850
China,81004470
United States,80157072
United States,81001809
United States,80201933
Indonesia,81002864
Indonesia,81016750
Indonesia,81002866
Spain,80992039
Ireland,80126507
India,80225885
Turkey,81132443
United States,80231903
United States,81171121
United States,80241248
Hong Kong,81012295
France,80060037
United States,60003155
India,81177238
Hong Kong,70270775
Mexico,81025403
United States,80215923
United States,80151483
United States,80173625
United States,80005444
United States,80244682
Vietnam,81075519
France,80166318
India,81186758
India,81186757
United States,80108976
United States,80208155
United States,80198423
United Kingdom,80162144
United States,81053953
United States,81074113
China,80992496
Canada,70304191
Spain,80103311
India,81176200
United States,80208906
United States,80097321
United States,80106966
United States,81004814
India,81080769
United States,70267838
United Kingdom,80211380
United States,80196586
United States,80099204
United States,80059432
Nigeria,81172721
Nigeria,81172727
France,70153543
Nigeria,81172728
South Korea,81095101
Japan,80241960
United Kingdom,80115346
United States,80124522
United States,80102952
Brazil,80214464
United States,80157073
United States,80243600
United Kingdom,80216172
United States,81122669
United States,80184771
Spain,81000389
Turkey,81132439
Canada,81035117
United States,80244627
Hong Kong,80150502
Japan,80189183
Hong Kong,80997866
United States,80119815
United States,80993149
Thailand,80224294
Vietnam,80203776
China,80143797
United States,80161931
United States,80057610
Norway,80017275
India,81107545
France,70118953
United States,80190449
Canada,70259208
United States,80163156
United States,80176878
Canada,80149143
South Korea,81144925
United States,80987075
United States,80192815
United Kingdom,80136785
United States,80066798
United States,81147293
United States,70178604
United Kingdom,80991316
United States,80190588
Hong Kong,70124316
United States,70229037
United States,80219119
United Kingdom,80037280
United Kingdom,80165072
United States,80058248
United States,70307661
United States,70117312
Canada,80092885
United States,80108371
United States,70129452
United States,80045805
United Kingdom,80101827
United States,70251519
Japan,81174992
United States,81044365
United States,81030342
United States,70143865
United States,70054723
United States,81069393
United States,80012550
United States,81131761
United States,81176196
United States,70143831
Lebanon,81003648
Indonesia,81016326
United Kingdom,80241102
Ireland,80227777
India,81018233
Indonesia,81016317
Indonesia,81016337
India,81018234
United Kingdom,80240816
India,81018235
India,81018236
India,81018237
India,81018238
Cambodia,80067522
Russia,80192149
Pakistan,80142637
United States,80192014
Mexico,80192015
United States,80168230
United Kingdom,80202129
United States,80088910
United States,70290909
Poland,80126566
United States,80033772
India,81093951
United States,80238013
United States,81089941
Thailand,81000011
Japan,80217733
United States,80225949
Thailand,80999985
Israel,80188120
United States,80164779
China,80993613
United States,81092328
United States,81183572
United States,81037283
United States,80244973
Turkey,81132438
France,80217779
Mexico,80211572
China,81161230
United States,81002412
United States,81023636
United Kingdom,80217669
United States,80153467
United States,80192834
United States,80198046
United States,80106307
United States,80993062
United States,81098586
United States,70267728
South Korea,81011508
Italy,81001000
United States,80192445
United States,80158670
United States,80223685
Netherlands,80244019
United Kingdom,80162143
United States,81060174
United States,70130445
United Kingdom,81001494
United States,80991570
United States,80184129
United States,60000861
United States,1151375
Brazil,81137484
United Kingdom,80187228
United States,81031008
United States,70099119
Germany,70039185
Nigeria,81165769
United States,70056433
United States,70113003
United States,60031232
Nigeria,80032842
Denmark,81137482
United States,70043308
Nigeria,81165771
United States,70044697
United States,70105368
United Kingdom,80241003
United States,81141689
United States,1008581
United States,70058023
Nigeria,81165786
Nigeria,81165770
United States,70043303
France,70136074
United States,1153194
United States,70112730
United States,81154900
United Arab Emirates,81158575
Egypt,81065786
United States,70087541
Taiwan,81004113
Spain,81003984
United States,70024088
France,81005312
United States,80082969
India,80994130
India,81019924
India,81018240
India,81013710
United States,70077076
India,81014988
Thailand,80102950
Australia,80994108
Mexico,70055221
France,81005314
United States,80242828
United States,81004223
United States,80198730
Thailand,81016043
United States,17672040
Russia,81004162
Taiwan,80188969
India,20254278
Taiwan,80189208
Japan,70276596
Japan,80063025
United States,70068739
India,80158389
Czech Republic,80184974
India,80156941
Japan,80178543
Japan,70213196
United States,70208520
United States,80061314
Japan,70052492
Japan,70036200
Japan,70018513
India,80158480
United States,80105933
United States,80139506
India,80205314
Norway,80133200
India,80158545
India,80156939
Japan,80152537
Japan,80045673
Japan,70275937
Japan,70101321
Japan,70108386
Japan,70074559
Germany,80162197
United States,80184055
France,80160358
United States,60034929
India,80157134
Argentina,80141891
United States,80183897
China,80177834
United Kingdom,80121855
Argentina,80168028
Germany,80200913
Argentina,80190990
United States,80173269
Netherlands,80106140
Netherlands,80106137
United Kingdom,80118873
United Kingdom,70229514
Pakistan,80114155
Taiwan,70303288
United Kingdom,80118841
Canada,80102579
Taiwan,80111273
United States,80097438
China,80111710
Spain,80114419
United Kingdom,80118888
Switzerland,80128337
Taiwan,70303289
China,80111614
Taiwan,80111275
Spain,80103426
United Kingdom,80118889
United States,70278877
United States,80244311
United States,81183570
United States,80216665
Indonesia,81016328
United States,80239503
Indonesia,81016321
United Kingdom,80031666
United States,80995737
United States,81021976
Malaysia,81020161
Australia,80025390
United States,80196216
United States,80091741
United States,80115464
United States,80113144
Ireland,80041653
Indonesia,81016338
Vietnam,81002592
United States,81017724
Japan,80174918
China,80170301
United States,80189623
Mexico,80215730
South Korea,81161487
India,81177367
Indonesia,81016323
Indonesia,81016318
Czech Republic,80240840
Japan,80191369
United Kingdom,80242081
United States,80168222
South Korea,80220650
United Kingdom,80164032
Turkey,81158574
Canada,80237905
Turkey,81132440
United States,80117803
United States,81021243
United Kingdom,81004460
Indonesia,81016330
United States,70105130
Japan,81010662
United States,80141858
Argentina,81084225
Taiwan,80203920
Spain,80199806
Philippines,80084834
United States,80208273
United States,80145699
Australia,80204927
United States,70266684
South Korea,81166978
India,81177371
South Korea,81167029
India,70067230
India,80207446
India,80207447
Indonesia,81016324
United States,80192097
United States,70185045
United States,80217066
United States,70002129
United Kingdom,80191963
United States,80218099
United States,80199767
United States,80191665
United States,80161921
United States,81148672
United States,81169914
United States,81211714
France,80224362
Canada,80092857
Mexico,80244679
United Kingdom,81110394
United States,80067754
Canada,80189954
Canada,80094648
United Kingdom,80066073
France,80123740
France,80123741
Canada,80094260
France,80123742
United States,81000863
Hong Kong,70082255
United States,80197912
United States,80117454
Spain,80095197
United States,80045783
China,81185502
United States,81123469
Russia,80990221
Serbia,80202352
Spain,80235268
Colombia,80992500
United States,80241061
United States,80185048
India,81025088
United States,80173479
Israel,80081372
United States,81136744
Brazil,80221210
Turkey,81132444
United States,80182014
Spain,81010786
United States,81078456
Argentina,81105406
France,81061828
Spain,81062582
United States,81017316
United States,81018455
Switzerland,81110383
China,81200228
United States,70218316
United States,81018183
United Kingdom,80219941
United States,80064515
United States,80062011
United States,80197462
United States,81034741
Singapore,81075461
India,80205231
United Kingdom,80235864
United Kingdom,80158919
United States,80135414
United States,70299286
Canada,80017261
United States,81038022
United States,80186796
Hong Kong,81071891
United States,80224536
China,81017545
United States,80994444
United States,80017286
United States,70295169
United States,80039050
United States,81027753
United States,15815343
United States,70295176
Egypt,81043190
United States,80131240
India,70170182
India,70082633
India,70049619
India,80211135
India,70109884
India,70176967
India,70198040
United States,80038442
United Kingdom,80091310
Indonesia,70114484
United States,80066079
United States,80117443
United States,80010717
Peru,81020005
United Kingdom,81035748
United States,80135164
United States,70167128
United States,80118101
United States,80184569
United States,80113669
United Kingdom,81029301
Australia,81025251
United States,81025309
United Kingdom,81025263
United Kingdom,81025361
Canada,81025317
United States,80209609
Mexico,81094801
United States,81191195
United States,80218973
United States,80235999
United Kingdom,80236359
United Kingdom,80017240
United Kingdom,70118859
United States,80236356
United Kingdom,80236778
United Kingdom,80236470
United Kingdom,70213237
United Kingdom,80236357
United Kingdom,699257
United States,80237311
United Kingdom,80236574
United States,80988048
United States,80039069
United States,80046779
United States,60001650
Nigeria,81172848
Belgium,81034575
United States,81025800
Australia,81003997
United States,80207486
Mexico,80226951
United Kingdom,80232279
South Korea,80239666
India,81011973
Hong Kong,80144152
United States,81035749
Indonesia,80148162
United Kingdom,80211465
France,80171705
South Africa,81172729
Nigeria,81172895
United States,80206910
United Kingdom,80217627
United States,80178724
Turkey,81132442
India,81020066
Nigeria,81172723
Spain,80990336
Nigeria,81172909
United Kingdom,80214706
United States,80994011
United States,80208910
Nigeria,81172902
India,80998890
Indonesia,81047903
India,81026343
United States,70125931
Australia,80222326
Canada,70235768
United States,80177406
South Korea,81077044
United States,81081656
United States,81187847
South Korea,81053240
South Korea,81167011
United States,80043834
United States,81157840
United States,80244900
India,80211134
United Kingdom,70271601
United States,80136786
India,80204433
Netherlands,80089199
United States,80043049
United States,80044545
United States,80070182
Turkey,80176234
United Kingdom,80992769
United States,81192594
India,81006356
India,81025935
India,81020508
United Kingdom,80241004
India,80201824
India,80203782
India,80201829
New Zealand,80126016
India,80202089
India,80203789
Venezuela,80193423
India,80201825
Malaysia,80202376
India,80028360
India,80203783
United States,80142617
India,80201823
Australia,80190841
Australia,80115858
France,80183199
India,80158547
India,80206827
India,80202090
India,80203790
India,80158391
India,80201822
Canada,80211540
France,80123743
Japan,70258995
Japan,70208801
Japan,70260383
France,80123744
Japan,70204970
Japan,70105699
Japan,70124999
United States,80088507
United Kingdom,80080727
Canada,80990869
China,80187205
United States,80097472
Italy,80075009
United States,70293417
United States,70280748
France,81034012
South Korea,81191500
India,81019031
Germany,80148070
Turkey,80155812
Mexico,80183198
United Kingdom,80158844
United States,80164456
United States,80174434
United States,80075476
United Kingdom,80158148
Turkey,80119451
Spain,80239565
United States,80216844
Indonesia,81021082
United States,80191047
United States,80189221
United States,80240972
Saudi Arabia,80103282
Spain,80134526
United States,80127559
United States,80005501
Turkey,81132441
United States,81078819
United States,80223997
Nigeria,81191666
Japan,81133621
Spain,81038598
Indonesia,81016322
Egypt,80147323
Japan,81019771
Norway,80210932
Brazil,81003880
United States,81015317
United States,80205204
United States,70245168
United Kingdom,70235731
United States,80003481
Denmark,81168338
Canada,81103033
United States,60002273
United States,70297962
United States,269880
United States,60029167
United States,60020891
United States,347365
United States,60003242
United States,60027726
South Korea,81166946
South Korea,81167065
India,81113888
United States,70023961
United States,60027716
United States,70287957
India,81113890
Poland,81168345
United States,60020892
Netherlands,81164752
India,81113886
United States,60028097
United States,70065112
United States,70083108
United States,70184050
"Poland,",81168347
United States,81003460
India,81113887
Poland,81168348
United States,70095135
India,81191254
Poland,81168340
United States,60023597
South Korea,81036448
United States,81002876
United States,70058017
United States,70058024
United States,70011211
United States,70271599
United States,70020699
Germany,60003540
United States,1181550
United Kingdom,70170051
South Korea,80987077
United States,70021630
Peru,81043753
United Kingdom,60001761
United States,70041963
United States,70058025
United States,70128696
United States,70077542
Poland,81168342
Nigeria,81165772
United States,510854
United States,60000921
South Korea,80188730
South Korea,81167083
Poland,81168343
United States,70044605
United States,18021979
Poland,81168344
United States,70020750
United States,70105596
United Kingdom,60037022
United States,60034571
South Korea,81167047
United States,70053456
United States,80173150
Poland,81168341
Poland,81168346
India,80137461
Canada,81012857
India,70123116
India,80190101
India,81024712
United States,70112494
United States,80215922
United Kingdom,81012415
India,70113306
India,70113305
India,80032472
India,70181653
United States,80048200
India,80032474
India,80032476
India,70127589
United States,80225696
India,80104130
India,80032473
India,70090035
India,81024713
India,70117268
United States,70211216
United States,70140322
India,81024696
India,70303428
India,70125882
India,70101039
India,70123121
India,80152182
India,70229042
India,70042756
India,80187618
India,81024704
Australia,80221498
India,70229047
India,70229555
India,70213515
United States,81018563
United States,81018565
United States,70114948
India,80190103
India,81024729
United Kingdom,81012427
India,80032477
